location,date,vaccine,total_vaccinations
Austria,1/8/2021,Johnson&Johnson,0
Austria,1/8/2021,Moderna,0
Austria,1/8/2021,Oxford/AstraZeneca,0
Austria,1/8/2021,Pfizer/BioNTech,30981
Austria,1/15/2021,Johnson&Johnson,0
Austria,1/15/2021,Moderna,88
Austria,1/15/2021,Oxford/AstraZeneca,0
Austria,1/15/2021,Pfizer/BioNTech,115580
Austria,1/22/2021,Johnson&Johnson,0
Austria,1/22/2021,Moderna,302
Austria,1/22/2021,Oxford/AstraZeneca,0
Austria,1/22/2021,Pfizer/BioNTech,212921
Austria,1/29/2021,Johnson&Johnson,0
Austria,1/29/2021,Moderna,4177
Austria,1/29/2021,Oxford/AstraZeneca,0
Austria,1/29/2021,Pfizer/BioNTech,257566
Austria,2/5/2021,Johnson&Johnson,0
Austria,2/5/2021,Moderna,5861
Austria,2/5/2021,Oxford/AstraZeneca,2
Austria,2/5/2021,Pfizer/BioNTech,352954
Austria,2/12/2021,Johnson&Johnson,0
Austria,2/12/2021,Moderna,9932
Austria,2/12/2021,Oxford/AstraZeneca,10770
Austria,2/12/2021,Pfizer/BioNTech,454162
Austria,2/19/2021,Johnson&Johnson,0
Austria,2/19/2021,Moderna,14052
Austria,2/19/2021,Oxford/AstraZeneca,43487
Austria,2/19/2021,Pfizer/BioNTech,519713
Austria,2/26/2021,Johnson&Johnson,0
Austria,2/26/2021,Moderna,22345
Austria,2/26/2021,Oxford/AstraZeneca,101203
Austria,2/26/2021,Pfizer/BioNTech,580736
Austria,3/5/2021,Johnson&Johnson,0
Austria,3/5/2021,Moderna,31614
Austria,3/5/2021,Oxford/AstraZeneca,155943
Austria,3/5/2021,Pfizer/BioNTech,684903
Austria,3/12/2021,Johnson&Johnson,0
Austria,3/12/2021,Moderna,46931
Austria,3/12/2021,Oxford/AstraZeneca,234353
Austria,3/12/2021,Pfizer/BioNTech,847346
Austria,3/19/2021,Johnson&Johnson,14
Austria,3/19/2021,Moderna,78642
Austria,3/19/2021,Oxford/AstraZeneca,307464
Austria,3/19/2021,Pfizer/BioNTech,979541
Austria,3/26/2021,Johnson&Johnson,25
Austria,3/26/2021,Moderna,103973
Austria,3/26/2021,Oxford/AstraZeneca,382575
Austria,3/26/2021,Pfizer/BioNTech,1125168
Austria,4/2/2021,Johnson&Johnson,41
Austria,4/2/2021,Moderna,140210
Austria,4/2/2021,Oxford/AstraZeneca,421050
Austria,4/2/2021,Pfizer/BioNTech,1272695
Austria,4/9/2021,Johnson&Johnson,71
Austria,4/9/2021,Moderna,179608
Austria,4/9/2021,Oxford/AstraZeneca,511247
Austria,4/9/2021,Pfizer/BioNTech,1493094
Austria,4/16/2021,Johnson&Johnson,74
Austria,4/16/2021,Moderna,221937
Austria,4/16/2021,Oxford/AstraZeneca,606958
Austria,4/16/2021,Pfizer/BioNTech,1725848
Austria,4/23/2021,Johnson&Johnson,79
Austria,4/23/2021,Moderna,259167
Austria,4/23/2021,Oxford/AstraZeneca,655741
Austria,4/23/2021,Pfizer/BioNTech,1988361
Austria,4/30/2021,Johnson&Johnson,333
Austria,4/30/2021,Moderna,297991
Austria,4/30/2021,Oxford/AstraZeneca,698044
Austria,4/30/2021,Pfizer/BioNTech,2260811
