,Tweets,Subjectivity,Polarity,Sentiment
0,  Yes! Must have booze and a robot bartender.,0.0,0.0,Neutral
1,": Working on this from last 15 hours . Hope you like it 🤞🙂
ApeBullInu to the moon🔥🔥🚀🚀


 
_Sisters…",0.06666666666666667,0.0,Neutral
2,"_QueeN815: “OMG wait did  hit top 10 on CMC, is this  WTF?” ",0.75,0.0,Neutral
3,: This is . Be like Elon. ,0.0,0.0,Neutral
4, _wise   I’ve lost respect,0.9,0.7,Positve
5,_gunawann     The company experienced rapid initial growth. It had 4… ,0.45,0.4,Positve
6," 🧐So how does ☯️GenesisShards preIDO liquidity on NFTs work❓

🎴By wrapping time-locked fungible… ",0.0,0.0,Neutral
7,"_of_bsc  i love babydoge, and I've always held it
 BabyDoge 
AcceptBabyDoge
BabyDoge… ",0.6,0.5,Positve
8,": $20 | ₱1,000 GIVEAWAY

— this + complete tasks:

1️⃣ tag  on quoted tweet
2️⃣ quote retweet it with: ",0.4,0.1,Positve
9,": $AIDI 6 on Dextools



🚀 Let's push for 1 🚀

AidiGANG Aidiverse SHIB FEG SAFEMOON kishu Aird…",0.0,0.0,Neutral
10,  To the moon🚀🚀🚀,0.0,0.0,Neutral
11," helpturkey Turkey is burned 
if you really care about the environment help us replant for the our planet ",0.2,0.2,Positve
12,": HELLO KISHU ARMY

200K Holders ✅ 

To celebrate this milestone we are giving away a 2021 TESLA 🚀
 (join TG for T&amp;C)

Marketin…",0.0,0.0,Neutral
13,"  I don't care what they say about you. If you are a NeilDiamond fan, you are alright in m… ",0.0,0.0,Neutral
14,"_Inu  a very promising and very good project, I believe your project will be successful and succ… ",0.7933333333333333,0.64,Positve
15,": “OMG wait did  hit top 10 on CMC, is this  WTF?” ",0.75,0.0,Neutral
16,_Thorne__  _wise   That’s just your um… mindset,0.9,0.7,Positve
17,  Protect the baby!,0.0,0.0,Neutral
18,come on what's your secret?  ,0.7,-0.4,Negative
19,: Neuralink company bar ,0.0,0.0,Neutral
20,:  Is protecting the baby??? ,0.0,0.0,Neutral
21,": Just a reminder that 

 will eventually release their wallets 

 &amp;  are probably going to acc…",0.0,0.0,Neutral
22,  nice project!,1.0,0.75,Positve
23,@_Alex_d_t _09      … ,0.0,0.0,Neutral
24,"_QueeN815: “OMG wait did  hit top 10 on CMC, is this  WTF?” ",0.75,0.0,Neutral
25,"_QueeN815: “OMG wait did  hit top 10 on CMC, is this  WTF?” ",0.75,0.0,Neutral
