,Tweets,Subjectivity,Polarity,Sentiment
0,": 63% Off! 

Westcott Soft Handle Kids Scissors with Anti-microbial Protection



BwcDeals Dogecoin c…",0.35,0.1,Positve
1,":  My entry  




egod dogereversed cryptocurrency…",0.0,0.0,Neutral
2,": Hi fellow Doge Fam, 

Our Presale whitelist entry contest is now live!!



Participate now to sec…",0.5,0.2130681818181818,Positve
3,: doge everyone go and like and rt this dogecoin ,0.0,0.0,Neutral
4,": I see a lot people are saying ELON should tweet about dogecoin LOL!
I mean that guy literally put his display picture as…",0.69375,0.34375,Positve
5,": Quick GiveAway  43mins

- this + RT/ comment Pupdogecoin in 

Good luck all 

btc dogsoftwitter dogecoin pu…",0.55,0.5166666666666666,Positve
6,": I wonder when Dogecoin &amp; etherium bridge, will doge be half of the etherium price???",0.16666666666666666,-0.16666666666666666,Negative
7,: Dogecoin is the coin for dreamers,0.0,0.0,Neutral
8,":  My entry  




egod dogereversed cryptocurrency…",0.0,0.0,Neutral
9,: “Dogecoin About To Start PANICKING” - Forbes   via  dogecoin ,0.0,0.0,Neutral
10,": Perception is everything dogecoin

dogearmy ",0.0,0.0,Neutral
11,": The current price of one DOGE is now: $0.2044, -2% change in the last hour!

One MDOGE is worth $204,437.2370.

Total vo…",0.32916666666666666,0.075,Positve
12,": The first ever coin dedicated to Satoshi Nakamoto!
Private Sale Successful 
Presales Successful 
Public Sale Ongoing …",0.535,0.3625,Positve
13,: The government needs to stay away from cryptocurrency! Dogecoin Bitcoin,0.0,0.0,Neutral
14,: No sex until Dogecoin hits $1.00 🤓,0.0,0.0,Neutral
15,"_: $WATC community is growing FAST!  Come mine some TODAY!

dogecoin CryptoNews altcoinnews cryptocurrency
cryptotrading …",0.6,0.3125,Positve
16,": We are approved on the TPWallet( Token Pocket Wallet ).
You will be able to see our Golden Doge Logo on the TPwallet no…",0.5625,0.4,Positve
17,":  My entry  




egod dogereversed cryptocurrency…",0.0,0.0,Neutral
18,"Join Cointiply and Earn10$ per Day Worth of Dogecoin
 defi Faucet ",0.1,0.3,Positve
19,: doge everyone go and like and rt this dogecoin,0.0,0.0,Neutral
20,": Quick GiveAway  43mins

- this + RT/ comment Pupdogecoin in 

Good luck all 

btc dogsoftwitter dogecoin pu…",0.55,0.5166666666666666,Positve
21,: DoOnlyGoodEveryday 🪙 this if you want Free dogecoin oh and add _brite .... AND leave a doge Meme comment  The…,0.8,0.4,Positve
22,":   Dogecoin to the moooooon!!  
        DoOnlyGoodEveryday
               Click for sound
     dogearmyMEME…",0.4,0.4,Positve
23,":  My entry  




egod dogereversed cryptocurrency…",0.0,0.0,Neutral
24,": $SAITA is a buy! 

 

Saitama Saita SaitamaInu SaitamaWolfPack SaitaMask SmartWallet UniSwap Saita…",0.0,0.0,Neutral
25,: The government needs to stay away from cryptocurrency! Dogecoin Bitcoin,0.0,0.0,Neutral
26,": According to  bitcoin will hit an astronomical amount by 2025.  

Just imagine what the will do for Saf…",0.0,0.0,Neutral
27,":  _ Presale Is Live Now!
If You Missed shibainu You Don't want to Miss _ 
Truly Deflationary Token…",0.5,0.17045454545454544,Positve
28,":  My entry  




egod dogereversed cryptocurrency…",0.0,0.0,Neutral
29,: DoOnlyGoodEveryday 🪙 this if you want Free dogecoin oh and add _brite .... AND leave a doge Meme comment  The…,0.8,0.4,Positve
30,": Day 53 of asking  if he likes Elongate, the charity cryptocurrency. It's really rad 🤙

Retweet to spread the mes…",0.2,0.2,Positve
31,_r: Spotted in Fremont CA Dogecoin ,0.0,0.0,Neutral
32,": $120 to one person in 24 hours

Retweet &amp; join telegram  &amp; wait 3 seconds and then join telegram mentio…",0.0,0.0,Neutral
33,": Just a reminder that 

 will eventually release their wallets 

 &amp;  are probably going to acc…",0.0,0.0,Neutral
34,  Same and when I think of dogecoin   do you support doge??,0.125,0.0,Neutral
35,": I see a lot people are saying ELON should tweet about dogecoin LOL!
I mean that guy literally put his display picture as…",0.69375,0.34375,Positve
36,tumblr twitter giftsforher facebook instagram dogecoin socialmedia pinterest doge deal gift gifts… ,0.0,0.0,Neutral
37,linkedin twitter giftsforher facebook instagram tiktok socialmedia tumblr dogecoin deal gift gifts… ,0.0,0.0,Neutral
38,"_: $Doge dogecoin 
even  likes it 🤠 ",0.0,0.0,Neutral
