,source_url,text,id,in_reply_to_user_id,in_reply_to_screen_name,favorite_count,lang,retweet_count,id_str,in_reply_to_status_id_str,source,in_reply_to_status_id,in_reply_to_user_id_str,user,author
0,http://twitter.com/download/iphone,"@therationalroot Seriously, negative nominal interest rates!? What is the world coming to …",1417949699835764738,8.597593926815457e+17,therationalroot,14119,en,1190,1417949699835764738,1417928935090925573,Twitter for iPhone,1.4179289350909256e+18,859759392681545728,elonmusk,elonmusk
1,http://twitter.com/download/iphone,"@DELTA_V But, much more important, is that this *design* is capable of full &amp; rapid reusability. 

Long way to go f… https://t.co/yZNCKwGlaI",1417949463591591936,1.2022812536151613e+18,DELTA_V,5341,en,297,1417949463591591936,1417851503214272515,Twitter for iPhone,1.4178515032142725e+18,1202281253615161344,elonmusk,elonmusk
2,http://twitter.com/download/iphone,@Model3Owners Dry electrode is a key piece (one of many pieces) of the puzzle for lowering cost of lithium batterie… https://t.co/lj91OKLUM3,1417948576647286787,44196397.0,elonmusk,2390,en,215,1417948576647286787,1417947305462812673,Twitter for iPhone,1.4179473054628127e+18,44196397,elonmusk,elonmusk
3,http://twitter.com/download/iphone,"@Model3Owners Ironic indeed, as I was at one point going to do my PhD at Stanford on high energy density capacitors… https://t.co/vUm0n1WtO9",1417947305462812673,7.04835627183788e+17,Model3Owners,5295,en,366,1417947305462812673,1417935326836887558,Twitter for iPhone,1.4179353268368876e+18,704835627183788032,elonmusk,elonmusk
4,http://twitter.com/download/iphone,RT @SpaceX: Dragon has autonomously re-docked with the @Space_Station https://t.co/lEV6LCIhKK,1417936377371529218,,,0,en,2090,1417936377371529218,,Twitter for iPhone,,,elonmusk,elonmusk
5,http://twitter.com/download/iphone,"RT @NASA: LIVE: The @SpaceX Crew Dragon Endeavour, with four astronauts aboard, relocates from the forward-facing port of the @Space_Statio…",1417805274962808838,,,0,en,1977,1417805274962808838,,Twitter for iPhone,,,elonmusk,elonmusk
6,http://twitter.com/download/iphone,@SciGuySpace Nice,1417699924024561666,15726728.0,SciGuySpace,21837,en,770,1417699924024561666,1417638323913326592,Twitter for iPhone,1.4176383239133266e+18,15726728,elonmusk,elonmusk
7,http://twitter.com/download/iphone,"@AaronS5_ @TesLatino Over time, all countries",1417593771730948096,1.0090742005465661e+18,AaronS5_,3802,en,240,1417593771730948096,1417593634644320257,Twitter for iPhone,1.4175936346443203e+18,1009074200546566144,elonmusk,elonmusk
8,http://twitter.com/download/iphone,@blueorigin Congrats!,1417593609566658562,235348644.0,blueorigin,46697,en,1330,1417593609566658562,1417537954805846018,Twitter for iPhone,1.417537954805846e+18,235348644,elonmusk,elonmusk
9,http://twitter.com/download/iphone,"@TesLatino We created our own connector, as there was no standard back then &amp; Tesla was only maker of long range el… https://t.co/oVA3l4mgZJ",1417593502351826946,9.899864482952356e+17,TesLatino,14292,en,1075,1417593502351826946,1417561178788741124,Twitter for iPhone,1.417561178788741e+18,989986448295235586,elonmusk,elonmusk
10,http://twitter.com/download/iphone,@vincent13031925 Great to hear!,1417453075892080641,1689516060.0,vincent13031925,13535,en,477,1417453075892080641,1417427520266268677,Twitter for iPhone,1.4174275202662687e+18,1689516060,elonmusk,elonmusk
11,http://twitter.com/download/iphone,@blueorigin Best of luck tomorrow!,1417390555001098246,235348644.0,blueorigin,29959,en,1146,1417390555001098246,1417251070989029376,Twitter for iPhone,1.4172510709890294e+18,235348644,elonmusk,elonmusk
12,http://twitter.com/download/iphone,RT @SpaceX: First static fire test of Super Heavy booster https://t.co/JtvGMfTgPj,1417293918421454851,,,0,en,9044,1417293918421454851,,Twitter for iPhone,,,elonmusk,elonmusk
13,http://twitter.com/download/iphone,@SpacePadreIsle @SpaceX Haha,1417293886897098762,1.0836995926995436e+18,SpacePadreIsle,8547,tl,295,1417293886897098762,1417278493428264963,Twitter for iPhone,1.417278493428265e+18,1083699592699543552,elonmusk,elonmusk
14,http://twitter.com/download/iphone,"@TLPN_Official @SpaceX Depending on progress with Booster 4, we might try a 9 engine firing on Booster 3",1417277335863140363,1.3436110834166948e+18,TLPN_Official,5483,en,456,1417277335863140363,1417277092090191884,Twitter for iPhone,1.417277092090192e+18,1343611083416694785,elonmusk,elonmusk
15,http://twitter.com/download/iphone,Full test duration firing of 3 Raptors on Super Heavy Booster!,1417274819461095432,,,116841,en,6009,1417274819461095432,,Twitter for iPhone,,,elonmusk,elonmusk
16,http://twitter.com/download/iphone,"@jack @BitcoinMagazine @CathieDWood Sure, I have a ton",1417207016519454724,12.0,jack,13055,en,646,1417207016519454724,1417205252957384709,Twitter for iPhone,1.4172052529573847e+18,12,elonmusk,elonmusk
17,http://twitter.com/download/iphone,"@BitcoinMagazine @jack @CathieDWood During this talk, we will sing a cover of The Final Countdown by Europe https://t.co/7YUXiW8dhd",1417204066552205332,361289499.0,BitcoinMagazine,10752,en,901,1417204066552205332,1417144324068974594,Twitter for iPhone,1.4171443240689746e+18,361289499,elonmusk,elonmusk
18,http://twitter.com/download/iphone,"RT @inspiration4x: Generosity, Prosperity, Leadership, and Hope.

All smiles for our #Inspiration4 crew during Dragon simulations at @Space…",1417178630631825408,,,0,en,1870,1417178630631825408,,Twitter for iPhone,,,elonmusk,elonmusk
19,http://twitter.com/download/iphone,"RT @Tesla: Solar Roof is designed to withstand heavy storms, hail and even medium-size tree branches https://t.co/IvTROrPC0j",1417178461882306560,,,0,en,1475,1417178461882306560,,Twitter for iPhone,,,elonmusk,elonmusk
